no,visit_date,domain,ref_link,portal_page,keywords,visit_IP,unique_no,total_visit_duration_time,total_visit_page_one_time,last_visit_page,last_time_visit_date,user_type,total_visit_time,os,net_service,brewer,lang,screen,screen_color,Flash,has_cookie,has_java,this_time_visit_start,visit_portal_time,portal_url,title,category,article_written,intention
1088,2019/02/21 22:40:53,广州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,61.144.96.9,1862493553511708361,17s,2,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,电信,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-21 22:40:53,4s,https://www.bmatch.tech/course/react?from=ryf,,,,False
1148,2019/02/21 13:22:34,杭州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,36.27.93.54,2153027338142640559,150s,2,https://www.bmatch.tech/course/react?from=ryf,2019/02/21 12:49:45,老访客,6,macOS,,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-21 13:22:34,148s,https://www.bmatch.tech/course/react?from=ryf,,,,False
192,2019/02/27 14:06:44,沈阳,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,119.119.68.107,1881325426222387144,132s,1,https://www.bmatch.tech/course/react?from=ryf,2019/02/27 14:06:40,老访客,1,Win 7,网通,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-27 14:06:44,132s,https://www.bmatch.tech/course/react?from=ryf,,,,False
342,2019/02/26 17:46:00,郑州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,42.236.10.92,1878508271288030283,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,800x600,24-bit,,支持,不支持,2019-02-26 17:46:00,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
705,2019/02/26 12:35:21,石家庄,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,36.98.61.243,5677283296792108943,6s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Android,,Chrome移动版,,,24-bit,,支持,不支持,2019-02-26 12:35:21,6s,https://www.bmatch.tech/course/react?from=ryf,,,,False
864,2019/02/25 17:39:22,北京,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,61.151.178.197,1736303141687932658,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Android 4.4,电信,Android Webkit Browser,,1024x768,24-bit,11.2,支持,不支持,2019-02-25 17:39:22,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
882,2019/02/25 15:57:24,上海,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,180.163.220.3,1716800763627191692,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,800x600,24-bit,,支持,不支持,2019-02-25 15:57:24,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
891,2019/02/25 15:10:26,宁波,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,112.17.241.82,2006854942280667024,未知,1,https://www.bmatch.tech/course/react?from=ryf,2019/02/25 14:25:55,新访客,2,macOS,移动,Google Chrome,,1440x900,24-bit,,支持,不支持,2019-02-25 15:10:26,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
897,2019/02/25 14:25:55,宁波,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,112.17.241.82,2006854942280667024,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,移动,Google Chrome,,1440x900,24-bit,,支持,不支持,2019-02-25 14:25:55,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
954,2019/02/24 19:50:36,郑州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,42.236.10.114,1900767970097752744,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,800x600,24-bit,,支持,不支持,2019-02-24 19:50:36,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
990,2019/02/23 16:20:22,郑州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,42.236.10.92,2226714627311085541,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,800x600,24-bit,,支持,不支持,2019-02-23 16:20:22,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
1041,2019/02/22 16:51:40,北京,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,124.202.212.62,2094929522087945585,3s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,电信通,Google Chrome,,1440x900,24-bit,,支持,不支持,2019-02-22 16:51:40,3s,https://www.bmatch.tech/course/react?from=ryf,,,,False
1131,2019/02/21 15:32:29,郑州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,42.236.10.84,1930031128830743758,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,800x600,24-bit,,支持,不支持,2019-02-21 15:32:29,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
1146,2019/02/21 14:08:24,杭州,直接访问,https://www.bmatch.tech/course/react?from=ryf,--,36.27.93.54,1938476331478098850,未知,1,https://www.bmatch.tech/course/react?from=ryf,2019/02/21 09:40:56,老访客,2,macOS,,Google Chrome,,1280x800,24-bit,,支持,不支持,2019-02-21 14:08:24,未知,https://www.bmatch.tech/course/react?from=ryf,,,,False
1054,2019/02/22 15:06:53,成都,http://www.ruanyifeng.com/blog/2006/02/post_179.html,https://www.bmatch.tech/course/react?from=ryf,--,182.148.112.32,2075832391479673671,29s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-22 15:06:53,29s,https://www.bmatch.tech/course/react?from=ryf,post_179,观点与感想,2006/02,False
175,2019/02/27 16:30:54,银川,http://www.ruanyifeng.com/blog/2007/03/metadata.html,https://www.bmatch.tech/course/react?from=ryf,--,203.93.166.89,5017195575311289514,3s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Google Chrome,,1366x768,24-bit,,支持,不支持,2019-02-27 16:30:54,3s,https://www.bmatch.tech/course/react?from=ryf,metadata,科技爱好者,2007/03,False
1042,2019/02/22 16:43:39,其他,http://www.ruanyifeng.com/blog/2007/07/english_punctuation.html,https://www.bmatch.tech/course/react?from=ryf,--,118.101.224.15,1860831444455352916,189s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-22 16:43:39,189s,https://www.bmatch.tech/course/react?from=ryf,english_punctuation,英语爱好者,2007/07,False
1069,2019/02/22 11:26:53,南京,http://www.ruanyifeng.com/blog/2007/07/lang_xianping_s_speech_in_toronto.html,https://www.bmatch.tech/course/react?from=ryf,--,61.132.54.2,1801612890135103926,5s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,电信,Google Chrome,,1440x900,24-bit,,支持,不支持,2019-02-22 11:26:53,5s,https://www.bmatch.tech/course/react?from=ryf,lang_xianping_s_speech_in_toronto,观点与感想,2007/07,False
211,2019/02/27 11:01:11,深圳,http://www.ruanyifeng.com/blog/2007/10/ascii_unicode_and_utf-8.html,https://www.bmatch.tech/course/react?from=ryf,--,116.6.99.221,2140752115735861739,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,电信,Google Chrome,,1440x900,24-bit,,支持,不支持,2019-02-27 11:01:11,未知,https://www.bmatch.tech/course/react?from=ryf,ascii_unicode_and_utf-8,理解计算机,2007/10,False
1138,2019/02/21 14:59:04,北京,http://www.ruanyifeng.com/blog/2007/10/ascii_unicode_and_utf-8.html,https://www.bmatch.tech/course/react?from=ryf,--,223.223.194.240,1866962574998030317,18s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-21 14:59:04,18s,https://www.bmatch.tech/course/react?from=ryf,ascii_unicode_and_utf-8,理解计算机,2007/10,False
58,2019/02/28 18:32:41,云浮,http://www.ruanyifeng.com/blog/2008/12/a_puzzle_from_terrence_tao.html,https://www.bmatch.tech/course/react?from=ryf,--,223.74.99.162,2043214352814639406,63s,4,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 7,,Firefox,,1536x864,24-bit,,支持,不支持,2019-02-28 18:32:41,13s,https://www.bmatch.tech/course/react?from=ryf,a_puzzle_from_terrence_tao,算法与数学,2008/12,False
56,2019/02/28 18:43:28,云浮,http://www.ruanyifeng.com/blog/2008/12/a_puzzle_from_terrence_tao.html,https://www.bmatch.tech/course/react?from=ryf,--,223.74.99.162,2043214352814639406,3s,1,https://www.bmatch.tech/course/react?from=ryf,2019/02/28 18:34:23,新访客,3,Win 7,,Firefox,,1536x864,24-bit,,支持,不支持,2019-02-28 18:43:28,3s,https://www.bmatch.tech/course/react?from=ryf,a_puzzle_from_terrence_tao,算法与数学,2008/12,False
1024,2019/02/22 20:46:38,北京,http://www.ruanyifeng.com/blog/2009/01/what_is_a_circle.html,https://www.bmatch.tech/course/react?from=ryf,--,61.135.169.80,2081247478481615530,36s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,网通,Google Chrome,,1440x900,24-bit,,支持,不支持,2019-02-22 20:46:38,36s,https://www.bmatch.tech/course/react?from=ryf,what_is_a_circle,算法与数学,2009/01,False
65,2019/02/28 17:06:01,北京,http://www.ruanyifeng.com/blog/2009/08/learning_javascript_closures.html,https://www.bmatch.tech/course/react?from=ryf,--,114.242.249.51,1897852207067635833,5s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Android 8.0,网通,微信浏览器,,,24-bit,,支持,不支持,2019-02-28 17:06:01,5s,https://www.bmatch.tech/course/react?from=ryf,learning_javascript_closures,JavaScript,2009/08,True
177,2019/02/27 16:14:14,佛山,http://www.ruanyifeng.com/blog/2009/08/learning_javascript_closures.html,https://www.bmatch.tech/course/react?from=ryf,--,218.13.15.114,1845970324655431075,3s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,电信,Google Chrome,,1920x1080,24-bit,,支持,不支持,2019-02-27 16:14:14,3s,https://www.bmatch.tech/course/react?from=ryf,learning_javascript_closures,JavaScript,2009/08,True
