tweet_id,date_time,favorites,retweets,user_followers,user_favourites
892420643555336193,2017-08-01 16:23:56,39492,8842,3768791,120162
892177421306343426,2017-08-01 00:17:27,33786,6480,3768791,120162
891815181378084864,2017-07-31 00:18:03,25445,4301,3768791,120162
891689557279858688,2017-07-30 15:58:51,42863,8925,3768791,120162
891327558926688256,2017-07-29 16:00:24,41016,9721,3768791,120162
891087950875897856,2017-07-29 00:08:17,20548,3240,3768791,120162
890971913173991426,2017-07-28 16:27:12,12053,2142,3768791,120162
890729181411237888,2017-07-28 00:22:40,66596,19548,3768791,120162
890609185150312448,2017-07-27 16:25:51,28187,4403,3768791,120162
890240255349198849,2017-07-26 15:59:51,32467,7684,3768792,120162
890006608113172480,2017-07-26 00:31:25,31127,7584,3768793,120162
889880896479866881,2017-07-25 16:11:53,28208,5116,3768916,120161
889665388333682689,2017-07-25 01:55:32,38745,8502,3768793,120162
889638837579907072,2017-07-25 00:10:02,27633,4705,3768793,120162
889531135344209921,2017-07-24 17:02:04,15329,2309,3768793,120162
889278841981685760,2017-07-24 00:19:32,25712,5635,3768793,120162
888917238123831296,2017-07-23 00:22:39,29555,4681,3768793,120162
888804989199671297,2017-07-22 16:56:37,26021,4535,3768793,120162
888554962724278272,2017-07-22 00:23:06,20267,3722,3768793,120162
888078434458587136,2017-07-20 16:49:33,22144,3637,3768796,120162
887705289381826560,2017-07-19 16:06:48,30690,5584,3768796,120162
887517139158093824,2017-07-19 03:39:09,46940,12053,3768796,120162
887473957103951883,2017-07-19 00:47:34,70007,18813,3768796,120162
887343217045368832,2017-07-18 16:08:03,34223,10713,3768796,120162
887101392804085760,2017-07-18 00:07:08,31045,6147,3768797,120162
886983233522544640,2017-07-17 16:17:36,35786,8045,3768797,120162
886736880519319552,2017-07-16 23:58:41,12286,3420,3768798,120162
886680336477933568,2017-07-16 20:14:00,22802,4597,3768798,120162
886366144734445568,2017-07-15 23:25:31,21488,3297,3768798,120162
886267009285017600,2017-07-15 16:51:35,117,4,3768798,120162
886258384151887873,2017-07-15 16:17:19,28437,6506,3768798,120162
886054160059072513,2017-07-15 02:45:48,0,106,3768799,120162
885984800019947520,2017-07-14 22:10:11,33299,7043,3768799,120162
885528943205470208,2017-07-13 15:58:47,36592,6642,3768801,120162
885518971528720385,2017-07-13 15:19:09,20739,3876,3768801,120162
885311592912609280,2017-07-13 01:35:06,0,19188,3768801,120162
885167619883638784,2017-07-12 16:03:00,22304,4526,3768801,120162
884925521741709313,2017-07-12 00:01:00,78881,19149,3768801,120162
884876753390489601,2017-07-11 20:47:12,28429,6042,3768801,120162
884562892145688576,2017-07-11 00:00:02,24716,5076,3768801,120162
884441805382717440,2017-07-10 15:58:53,27443,5836,3768802,120162
884247878851493888,2017-07-10 03:08:17,74192,21105,3768802,120162
884162670584377345,2017-07-09 21:29:42,20719,3099,3768802,120162
883838122936631299,2017-07-09 00:00:04,22269,3559,3768801,120162
883482846933004288,2017-07-08 00:28:19,46741,10336,3768801,120162
883360690899218434,2017-07-07 16:22:55,22932,3802,3768801,120162
883117836046086144,2017-07-07 00:17:54,37810,6900,3768801,120162
882992080364220416,2017-07-06 15:58:11,24358,4086,3768801,120162
882762694511734784,2017-07-06 00:46:41,28810,5086,3768802,120162
882627270321602560,2017-07-05 15:48:34,28327,6303,3768802,120162
882268110199369728,2017-07-04 16:01:23,45745,12013,3768803,120162
882045870035918850,2017-07-04 01:18:17,29843,5162,3768806,120162
881906580714921986,2017-07-03 16:04:48,24708,3516,3768807,120162
881666595344535552,2017-07-03 00:11:11,51390,11026,3768807,120162
881633300179243008,2017-07-02 21:58:53,129,7,3768930,120161
881536004380872706,2017-07-02 15:32:16,50326,16564,3768807,120162
881268444196462592,2017-07-01 21:49:04,23462,5328,3768807,120162
880935762899988482,2017-06-30 23:47:07,17288,2871,3768807,120162
880872448815771648,2017-06-30 19:35:32,21667,3957,3768807,120162
880465832366813184,2017-06-29 16:39:47,28997,6500,3768807,120162
880221127280381952,2017-06-29 00:27:25,27561,4398,3768807,120162
880095782870896641,2017-06-28 16:09:20,28085,4506,3768807,120162
879862464715927552,2017-06-28 00:42:13,22609,3615,3768807,120162
879674319642796034,2017-06-27 12:14:36,313,10,3768807,120162
879492040517615616,2017-06-27 00:10:17,23778,3300,3768807,120162
879415818425184262,2017-06-26 19:07:24,107834,45655,3768807,120162
879376492567855104,2017-06-26 16:31:08,17061,3239,3768807,120162
879130579576475649,2017-06-26 00:13:58,0,7118,3768807,120162
879050749262655488,2017-06-25 18:56:45,22978,4890,3768807,120162
879008229531029506,2017-06-25 16:07:47,19265,2793,3768807,120162
878776093423087618,2017-06-25 00:45:22,19708,4282,3768807,120162
878604707211726852,2017-06-24 13:24:20,30835,7510,3768807,120162
878404777348136964,2017-06-24 00:09:53,0,1338,3768807,120162
878316110768087041,2017-06-23 18:17:33,0,6925,3768807,120162
878281511006478336,2017-06-23 16:00:04,7890,1338,3768807,120162
878057613040115712,2017-06-23 01:10:23,42743,7118,3768807,120162
877736472329191424,2017-06-22 03:54:17,81450,19908,3768930,120161
877611172832227328,2017-06-21 19:36:23,0,82,3768807,120162
877556246731214848,2017-06-21 15:58:08,23188,3973,3768809,120162
877316821321428993,2017-06-21 00:06:44,27835,5377,3768809,120162
877201837425926144,2017-06-20 16:29:50,27661,5829,3768809,120162
876838120628539392,2017-06-19 16:24:33,21069,3493,3768809,120162
876537666061221889,2017-06-18 20:30:39,23789,4775,3768809,120162
876484053909872640,2017-06-18 16:57:37,19086,2499,3768809,120162
876120275196170240,2017-06-17 16:52:05,28392,4872,3768809,120162
875747767867523072,2017-06-16 16:11:53,25710,4478,3768809,120162
875144289856114688,2017-06-15 00:13:52,22346,5114,3768810,120162
875097192612077568,2017-06-14 21:06:43,27915,6303,3768811,120162
875021211251597312,2017-06-14 16:04:48,25948,4895,3768811,120162
874680097055178752,2017-06-13 17:29:20,28371,4825,3768811,120162
874434818259525634,2017-06-13 01:14:41,0,15442,3768811,120162
874296783580663808,2017-06-12 16:06:11,26563,4284,3768812,120162
874057562936811520,2017-06-12 00:15:36,23061,4107,3768812,120162
874012996292530176,2017-06-11 21:18:31,35406,10926,3768812,120162
873697596434513921,2017-06-11 00:25:14,0,12435,3768812,120162
873580283840344065,2017-06-10 16:39:04,24757,4110,3768812,120162
873337748698140672,2017-06-10 00:35:19,0,1656,3768812,120162
