no,访问时间,地域,ref_link,入口页面,搜索词,访问IP,访客标识码,访问时长,访问页数,最后停留在,上一次访问时间,访问类型,访问频次,操作系统,网络服务商,浏览器,语言环境,屏幕分辨率,屏幕颜色,Flash版本,是否支持Cookie,是否支持JAVA,打开时间,停留时长,页面地址
5,2019/2/26 17:02,深圳,http://www.ruanyifeng.com/blog/2014/05/oauth_2_0.html,https://www.bmatch.tech/course/react?from=ryf,--,183.14.28.144,2.35E+18,134s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,电信,Google Chrome,,1920x1200,24-bit,,支持,不支持,17:02:31,134s,https://www.bmatch.tech/course/react?from=ryf
23,2019/2/26 16:37,上海,http://www.ruanyifeng.com/blog/2016/08/http.html,https://www.bmatch.tech/course/react?from=ryf,--,180.169.2.18,2.17E+18,未知,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,,Safari,,1680x1050,24-bit,,支持,支持,16:37:57,未知,https://www.bmatch.tech/course/react?from=ryf
28,2019/2/26 16:26,成都,http://www.ruanyifeng.com/blog/2010/05/object-oriented_javascript_inheritance.html,https://www.bmatch.tech/course/react?from=ryf,--,222.210.10.152,1.88E+18,146s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,电信,Google Chrome,,1920x1080,24-bit,,支持,不支持,16:26:34,146s,https://www.bmatch.tech/course/react?from=ryf
44,2019/2/26 16:12,重庆,http://www.ruanyifeng.com/blog/2019/02/password.html,https://www.bmatch.tech/course/react?from=ryf,--,223.104.25.93,1.85E+18,1s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,,Google Chrome,,1920x1080,24-bit,,支持,不支持,16:12:55,1s,https://www.bmatch.tech/course/react?from=ryf
47,2019/2/26 16:07,东莞,http://www.ruanyifeng.com/blog/2019/02/npx.html,https://www.bmatch.tech/course/react?from=ryf,--,119.145.99.37,1.85E+18,2s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,电信,Google Chrome,,2560x1440,24-bit,,支持,不支持,16:07:50,2s,https://www.bmatch.tech/course/react?from=ryf
56,2019/2/26 15:59,北京,http://www.ruanyifeng.com/blog/2018/07/web-worker.html,https://www.bmatch.tech/course/react?from=ryf,--,221.216.141.35,1.86E+18,39s,6,https://www.bmatch.tech/courses/react,首次访问,新访客,1,Win 10,网通,Google Chrome,,1024x1280,24-bit,,支持,不支持,15:59:27,7s,https://www.bmatch.tech/course/react?from=ryf
59,2019/2/26 15:56,北京,http://www.ruanyifeng.com/blog/2015/07/flex-grammar.html,https://www.bmatch.tech/course/react?from=ryf,--,150.109.76.188,1.95E+18,6s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,macOS,,Google Chrome,,1680x1050,24-bit,,支持,不支持,15:56:23,6s,https://www.bmatch.tech/course/react?from=ryf
113,2019/2/26 15:15,石家庄,http://www.ruanyifeng.com/blog/2013/01/javascript_source_map.html,https://www.bmatch.tech/course/react?from=ryf,--,60.1.187.100,2.10E+18,5s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,网通,Google Chrome,,1920x1080,24-bit,,支持,不支持,15:15:53,5s,https://www.bmatch.tech/course/react?from=ryf
124,2019/2/26 15:02,合肥,http://www.ruanyifeng.com/blog/2015/07/flex-examples.html,https://www.bmatch.tech/course/react?from=ryf,--,36.5.235.206,2.27E+18,8s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,,Google Chrome,,1920x1080,24-bit,,支持,不支持,15:02:47,8s,https://www.bmatch.tech/course/react?from=ryf
243,2019/2/26 13:31,郑州,http://www.ruanyifeng.com/blog/2018/06/javascript-this.html,https://www.bmatch.tech/course/react?from=ryf,--,112.53.98.82,2.26E+18,2s,1,https://www.bmatch.tech/course/react?from=ryf,首次访问,新访客,1,Win 10,移动,Google Chrome,,1920x1080,24-bit,,支持,不支持,13:31:56,2s,https://www.bmatch.tech/course/react?from=ryf
